ID Testu,Nazwa,Opis,Warunek Początkowy,Scenariusz,Dane Wejściowe,Oczekiwany Efekt
1,Logowanie poprawne,Test logowania z poprawnymi danymi,Posiadanie konta w aplikacji,Logowanie użytkownika,Login: valid_user,Hasło: valid_password,Użytkownik zostaje zalogowany i przeniesiony na stronę główną.
2,Logowanie niepoprawne,Test logowania z nieprawidłowym hasłem,Posiadanie konta w aplikacji,Logowanie użytkownika,Login: valid_user,Hasło: wrong_password,Wyswietlenie komunikatu o błędzie.
3,Rejestracja użytkownika poprawna,Test rejestracji nowego użytkownika,Nie posiadać konta,Rejestracja nowego użytkownika,Dane: valid_user, valid_password, Użytkownik rejestruje się z sukcesem.
4,Rejestracja użytkownika niepoprawna,Test rejestracji z istniejącym loginem,Dane: istniejącego_użytkownika,Rejestracja nowego użytkownika,Login: existing_user,Hasło: valid_password,Wyswietlenie komunikatu o błędzie.
5,Zarządzanie nieruchomością dodanie,Test dodania nowej nieruchomości,Bycie zalogowanym,Użytkownik dodaje nową nieruchomość,Dane: property_name, property_location,Nieruchomość zostaje dodana pomyślnie.
6,Zarządzanie nieruchomością edytowanie,Test edytowania istniejącej nieruchomości,Zarządzanie nieruchomościami,Użytkownik edytuje nieruchomość,Dane: updated_property_name,Nieruchomość jest zaktualizowana.
7,Zarządzanie nieruchomością usunięcie,Test usunięcia nieruchomości,Zarządzanie nieruchomościami,Użytkownik usuwa nieruchomość,Dane: property_id,Nieruchomość zostaje usunięta pomyślnie.
8,Wiadomości wysyłanie,Test wysyłania wiadomości,Bycie zalogowanym,Użytkownik wysyła wiadomość,Dane: recipient, message,Wiadomość zostaje wysłana.
9,Wiadomości odbieranie,Test odbierania wiadomości,Bycie zalogowanym,Użytkownik odbiera wiadomość,Dane: wiadomość od nadawcy,Wiadomość zostaje poprawnie wyświetlona.
10,Płatności dodawanie,Test dodania metody płatności,Bycie zalogowanym,Użytkownik dodaje nową metodę płatności,Dane: payment_method,Nowa metoda płatności zostaje dodana.
11,Płatności usunięcie,Test usunięcia metody płatności,Bycie zalogowanym,Użytkownik usuwa metodę płatności,Dane: payment_method_id,Metoda płatności zostaje usunięta.
